Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2000,,Beauharnois-Salaberry,,Wetland:Forested->Urban [Type],1.62,,,,,
,2000,,Beauharnois-Salaberry,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Beauharnois-Salaberry,,Wetland:Open->Urban [Type],1.764,,,,,
,2000,,Brome-Missisquoi,,Agriculture->Urban [Type],41.526,,,,,
,2000,,Brome-Missisquoi,,Forest->Agriculture,11.907,,,,,
,2000,,Brome-Missisquoi,,Forest->Urban,107.415,,,,,
,2000,,Brome-Missisquoi,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Brome-Missisquoi,,Wetland:Forested->Urban [Type],1.413,,,,,
,2000,,Brome-Missisquoi,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Brome-Missisquoi,,Wetland:Open->Urban [Type],1.467,,,,,
,2000,,La Haute-Yamaska,,Agriculture->Urban [Type],30.861,,,,,
,2000,,La Haute-Yamaska,,Forest->Agriculture,5.859,,,,,
,2000,,La Haute-Yamaska,,Forest->Urban,103.248,,,,,
,2000,,La Haute-Yamaska,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,La Haute-Yamaska,,Wetland:Forested->Urban [Type],0.315,,,,,
,2000,,La Haute-Yamaska,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,La Haute-Yamaska,,Wetland:Open->Urban [Type],1.017,,,,,
,2000,,La Vallee-du-Richelieu,,Agriculture->Urban [Type],72.81,,,,,
,2000,,La Vallee-du-Richelieu,,Forest->Agriculture,1.215,,,,,
,2000,,La Vallee-du-Richelieu,,Forest->Urban,17.649,,,,,
,2000,,La Vallee-du-Richelieu,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,La Vallee-du-Richelieu,,Wetland:Forested->Urban [Type],0.189,,,,,
,2000,,La Vallee-du-Richelieu,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,La Vallee-du-Richelieu,,Wetland:Open->Urban [Type],0.585,,,,,
,2000,,Le Haut-Richelieu,,Agriculture->Urban [Type],88.533,,,,,
,2000,,Le Haut-Richelieu,,Forest->Agriculture,1.152,,,,,
,2000,,Le Haut-Richelieu,,Forest->Urban,20.133,,,,,
,2000,,Le Haut-Richelieu,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Le Haut-Richelieu,,Wetland:Forested->Urban [Type],3.528,,,,,
,2000,,Le Haut-Richelieu,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Le Haut-Richelieu,,Wetland:Open->Urban [Type],2.691,,,,,
,2000,,Le Haut-Saint-Laurent,,Agriculture->Urban [Type],24.624,,,,,
,2000,,Le Haut-Saint-Laurent,,Forest->Agriculture,9.729,,,,,
,2000,,Le Haut-Saint-Laurent,,Forest->Urban,19.863,,,,,
,2000,,Le Haut-Saint-Laurent,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Le Haut-Saint-Laurent,,Wetland:Forested->Urban [Type],2.025,,,,,
,2000,,Le Haut-Saint-Laurent,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Le Haut-Saint-Laurent,,Wetland:Open->Urban [Type],0.81,,,,,
,2000,,Les Jardins-de-Napierville,,Agriculture->Urban [Type],24.732,,,,,
,2000,,Les Jardins-de-Napierville,,Forest->Agriculture,8.739,,,,,
,2000,,Les Jardins-de-Napierville,,Forest->Urban,6.552,,,,,
,2000,,Les Jardins-de-Napierville,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Les Jardins-de-Napierville,,Wetland:Forested->Urban [Type],0.243,,,,,
,2000,,Les Jardins-de-Napierville,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Les Jardins-de-Napierville,,Wetland:Open->Urban [Type],0.9,,,,,
,2000,,Les Maskoutains,,Agriculture->Urban [Type],51.651,,,,,
,2000,,Les Maskoutains,,Forest->Agriculture,3.294,,,,,
,2000,,Les Maskoutains,,Forest->Urban,7.137,,,,,
,2000,,Les Maskoutains,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Les Maskoutains,,Wetland:Forested->Urban [Type],0.081,,,,,
,2000,,Les Maskoutains,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Les Maskoutains,,Wetland:Open->Urban [Type],0.207,,,,,
,2000,,Longueuil,,Agriculture->Urban [Type],86.184,,,,,
,2000,,Longueuil,,Forest->Agriculture,1.323,,,,,
