Iteration,Timestep,StratumID,SecondaryStratumID,TertiaryStratumID,TransitionGroupID,Amount,DistributionType,DistributionFrequencyID,DistributionSD,DistributionMin,DistributionMax
,2000,,La Haute-Yamaska,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,La Haute-Yamaska,,Wetland:Open->Urban [Type],0.5085,,,,,
,2000,,La Vallee-du-Richelieu,,Agriculture->Urban [Type],36.405,,,,,
,2000,,La Vallee-du-Richelieu,,Forest->Agriculture,1.215,,,,,
,2000,,La Vallee-du-Richelieu,,Forest->Urban,8.8245,,,,,
,2000,,La Vallee-du-Richelieu,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,La Vallee-du-Richelieu,,Wetland:Forested->Urban [Type],0.0945,,,,,
,2000,,La Vallee-du-Richelieu,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,La Vallee-du-Richelieu,,Wetland:Open->Urban [Type],0.2925,,,,,
,2000,,Le Haut-Richelieu,,Agriculture->Urban [Type],44.2665,,,,,
,2000,,Le Haut-Richelieu,,Forest->Agriculture,1.152,,,,,
,2000,,Le Haut-Richelieu,,Forest->Urban,10.0665,,,,,
,2000,,Le Haut-Richelieu,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Le Haut-Richelieu,,Wetland:Forested->Urban [Type],1.764,,,,,
,2000,,Le Haut-Richelieu,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Le Haut-Richelieu,,Wetland:Open->Urban [Type],1.3455,,,,,
,2000,,Le Haut-Saint-Laurent,,Agriculture->Urban [Type],12.312,,,,,
,2000,,Le Haut-Saint-Laurent,,Forest->Agriculture,9.729,,,,,
,2000,,Le Haut-Saint-Laurent,,Forest->Urban,9.9315,,,,,
,2000,,Le Haut-Saint-Laurent,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Le Haut-Saint-Laurent,,Wetland:Forested->Urban [Type],1.0125,,,,,
,2000,,Le Haut-Saint-Laurent,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Le Haut-Saint-Laurent,,Wetland:Open->Urban [Type],0.405,,,,,
,2000,,Les Jardins-de-Napierville,,Agriculture->Urban [Type],12.366,,,,,
,2000,,Les Jardins-de-Napierville,,Forest->Agriculture,8.739,,,,,
,2000,,Les Jardins-de-Napierville,,Forest->Urban,3.276,,,,,
,2000,,Les Jardins-de-Napierville,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Les Jardins-de-Napierville,,Wetland:Forested->Urban [Type],0.1215,,,,,
,2000,,Les Jardins-de-Napierville,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Les Jardins-de-Napierville,,Wetland:Open->Urban [Type],0.45,,,,,
,2000,,Les Maskoutains,,Agriculture->Urban [Type],25.8255,,,,,
,2000,,Les Maskoutains,,Forest->Agriculture,3.294,,,,,
,2000,,Les Maskoutains,,Forest->Urban,3.5685,,,,,
,2000,,Les Maskoutains,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Les Maskoutains,,Wetland:Forested->Urban [Type],0.0405,,,,,
,2000,,Les Maskoutains,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Les Maskoutains,,Wetland:Open->Urban [Type],0.1035,,,,,
,2000,,Longueuil,,Agriculture->Urban [Type],43.092,,,,,
,2000,,Longueuil,,Forest->Agriculture,1.323,,,,,
,2000,,Longueuil,,Forest->Urban,12.8115,,,,,
,2000,,Longueuil,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Longueuil,,Wetland:Forested->Urban [Type],0.162,,,,,
,2000,,Longueuil,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Longueuil,,Wetland:Open->Urban [Type],0.279,,,,,
,2000,,Marguerite-D'Youville,,Agriculture->Urban [Type],22.1355,,,,,
,2000,,Marguerite-D'Youville,,Forest->Agriculture,0.567,,,,,
,2000,,Marguerite-D'Youville,,Forest->Urban,4.2435,,,,,
,2000,,Marguerite-D'Youville,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Marguerite-D'Youville,,Wetland:Forested->Urban [Type],0.1215,,,,,
,2000,,Marguerite-D'Youville,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Marguerite-D'Youville,,Wetland:Open->Urban [Type],0.234,,,,,
,2000,,Pierre-De Saurel,,Agriculture->Urban [Type],10.3005,,,,,
,2000,,Pierre-De Saurel,,Forest->Agriculture,2.952,,,,,
,2000,,Pierre-De Saurel,,Forest->Urban,6.0885,,,,,
,2000,,Pierre-De Saurel,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Pierre-De Saurel,,Wetland:Forested->Urban [Type],0.072,,,,,
,2000,,Pierre-De Saurel,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Pierre-De Saurel,,Wetland:Open->Urban [Type],0.135,,,,,
,2000,,Roussillon,,Agriculture->Urban [Type],27.1485,,,,,
,2000,,Roussillon,,Forest->Agriculture,0.909,,,,,
,2000,,Roussillon,,Forest->Urban,13.4325,,,,,
,2000,,Roussillon,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Roussillon,,Wetland:Forested->Urban [Type],0.8325,,,,,
,2000,,Roussillon,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Roussillon,,Wetland:Open->Urban [Type],1.0395,,,,,
,2000,,Rouville,,Agriculture->Urban [Type],13.851,,,,,
,2000,,Rouville,,Forest->Agriculture,2.979,,,,,
,2000,,Rouville,,Forest->Urban,1.0305,,,,,
,2000,,Rouville,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Rouville,,Wetland:Forested->Urban [Type],0.009,,,,,
,2000,,Rouville,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Rouville,,Wetland:Open->Urban [Type],0.036,,,,,
,2000,,Vaudreuil-Soulanges,,Agriculture->Urban [Type],57.8025,,,,,
,2000,,Vaudreuil-Soulanges,,Forest->Agriculture,2.214,,,,,
,2000,,Vaudreuil-Soulanges,,Forest->Urban,64.944,,,,,
,2000,,Vaudreuil-Soulanges,,Wetland:Forested->Agriculture [Type],0,,,,,
,2000,,Vaudreuil-Soulanges,,Wetland:Forested->Urban [Type],0.891,,,,,
,2000,,Vaudreuil-Soulanges,,Wetland:Open->Agriculture [Type],0,,,,,
,2000,,Vaudreuil-Soulanges,,Wetland:Open->Urban [Type],1.6155,,,,,
